pronounCount,prepositionCount,conjunctionCount,complexWordsCount,longWordsCount,syllablesCount,typeTokenRatio,wordCount,cleaned,entity,author
1.0,1.0,0.0,1.0,3.0,20.0,0.9333333333333333,15.0,herbert west need fresh body life work reanimation dead ,"[herbert, west]",HPL
0.0,3.0,0.0,1.0,3.0,19.0,1.0,15.0,farm like ground extend back deeply hill almost wheaton street ,[wheaton],HPL
1.0,2.0,1.0,1.0,1.0,12.0,1.0,10.0,glance show fallacy idea ,[],EAP
5.0,5.0,4.0,5.0,9.0,63.0,0.7659574468085106,47.0,escape must commence destructive almost endless journey across mountainous ice ocean amidst cold inhabitant could long endure native genial sunny climate could hope survive ,[],MWS
13.0,9.0,3.0,6.0,9.0,85.0,0.8032786885245902,61.0,speech give course interpretation fancy doubt event come possession vast quantity ready money provide pay owe trifle consideration service dare say care little become either soul carcass ,"[owe, trifle, consideration, service]",EAP
4.0,3.0,2.0,6.0,6.0,45.0,0.8571428571428571,28.0,native sprightliness need undue excitement placid heart repose contented love well child beauty surround nature ,[],MWS
3.0,11.0,3.0,8.0,12.0,74.0,0.8125,48.0,even go far speak slightly hectic cough one time trouble chronic rheumatism twinge hereditary gout conclusion disagreeable inconvenient hitherto carefully conceal weakness eye ,[one],EAP
7.0,4.0,3.0,10.0,9.0,80.0,0.86,50.0,facial aspect remarkable maturity though share mother grandfather chinlessness firm precociously shape nose unite expression large dark almost latin eye give air quasi adulthood well nigh preternatural intelligence ,[latin],HPL
0.0,4.0,2.0,3.0,4.0,29.0,0.9523809523809523,21.0,net work permanently fasten hoop attach series run loop noose ,"[hoop, attach, series]",EAP
9.0,5.0,2.0,8.0,11.0,61.0,0.8636363636363636,44.0,sound hideous hold vibration suggest nothing globe earth certain interval assume symphonic quality could hardly conceive produce one player ,[one],HPL
0.0,5.0,1.0,6.0,6.0,34.0,0.8333333333333334,18.0,every hand wilderness balcony veranda minaret shrine fantastically carve oriel ,[],EAP
7.0,14.0,5.0,12.0,14.0,121.0,0.7439024390243902,82.0,deep spirit wonder perplexity regard remote pew gallery step solemn slow ascend pulpit reverend man countenance demurely benign robe glossy clerically flow wig minutely powder rigid vast could late sour visage snuffy habiliment administer ferule hand draconian law academy ,[],EAP
1.0,2.0,0.0,3.0,6.0,22.0,0.9090909090909091,11.0,bizarre attempt explanation follow equally bizarre ,[],EAP
0.0,2.0,4.0,1.0,2.0,31.0,0.84,25.0,many prodigy sign take place far wide sea land black wing pestilence spread abroad ,[],EAP
5.0,18.0,5.0,20.0,28.0,155.0,0.7127659574468085,94.0,yet fairly say know pure gold make readily lead connection certain substance kind proportion unknown speculation course busy immediate ultimate result discovery discovery thinking person hesitate refer increase interest matter gold generally late development california reflection bring us inevitably another exceed inopportuneness von kempelen analysis ,"[california, von, kempelen]",EAP
2.0,11.0,0.0,5.0,7.0,45.0,0.7741935483870968,31.0,seem upon verge comprehension without power comprehend man time find upon brink remembrance without able end remember ,[],EAP
6.0,4.0,3.0,8.0,13.0,68.0,0.8888888888888888,45.0,compass depth gauge delicate instrument ruin henceforth reckoning would guesswork base watch calendar apparent drift judge object may spy porthole con tower ,[],HPL
2.0,7.0,2.0,2.0,4.0,35.0,0.8333333333333334,30.0,young warrior take back sarnath symbol conquest old god ib sign leadership mnar ,[conquest],HPL
0.0,2.0,0.0,0.0,3.0,12.0,0.9,10.0,meantime whole paradise arnheim burst upon view ,[arnheim],EAP
9.0,4.0,3.0,3.0,3.0,46.0,0.813953488372093,43.0,rich young guardian appoint would act one great society must keep secret really cut ever ,[one],MWS
3.0,11.0,6.0,6.0,7.0,71.0,0.875,48.0,could make little dim light seem contain prophecy detailed relation event lately pass name well known modern date often exclamation exultation woe victory defeat trace thin scant page ,[],MWS
2.0,1.0,0.0,0.0,0.0,8.0,1.0,7.0,even talk tomb ,[],HPL
1.0,4.0,1.0,5.0,7.0,33.0,1.0,17.0,sheehan especially ply inquiry yet without elicit information value concern old bugs ,"[sheehan, especially]",HPL
2.0,0.0,1.0,1.0,1.0,21.0,0.8888888888888888,18.0,cry aloud little later give gasp terrible cry ,[],HPL
0.0,6.0,3.0,2.0,4.0,40.0,0.8620689655172413,29.0,old track cross river street grade veer region increasingly rural less less innsmouth abhorrent fishy odour ,"[cross, river, street]",HPL
5.0,4.0,2.0,4.0,6.0,44.0,0.896551724137931,29.0,soul overflow ardent affection friendship devoted wondrous nature world minded teach us look imagination ,[],MWS
2.0,5.0,0.0,2.0,4.0,25.0,0.8260869565217391,23.0,first start replace tissue wrap around portrait shield sordidness place ,[first],HPL
3.0,10.0,1.0,11.0,14.0,80.0,0.8333333333333334,48.0,present peculiar condition affair court especially intrigue know involve would render instant availability document susceptibility produce moment notice point nearly equal importance possession ,[],EAP
2.0,5.0,1.0,4.0,5.0,45.0,0.9375,32.0,wilbur growth indeed phenomenal within three month birth attain size muscular power usually find infant full year age ,"[three, month]",HPL
3.0,6.0,1.0,9.0,12.0,59.0,0.8947368421052632,38.0,pause succeed difficulty raise whereupon reveal black aperture exhale noxious fume cause torch sputter disclose unsteady glare top flight stone step ,"[torch, sputter, disclose]",HPL
4.0,3.0,1.0,2.0,1.0,55.0,0.7884615384615384,52.0,mud water sky dark rain wipin aout track abaout fast could beginnin glen maouth whar tree move still awful print big barls like see monday ,"[glen, maouth, monday]",HPL
0.0,3.0,0.0,1.0,4.0,19.0,1.0,11.0,visit merrival windsor frequent suddenly cease ,[],MWS
3.0,6.0,0.0,5.0,6.0,35.0,0.8888888888888888,27.0,suppose however great underduk suffer impertinence part little old man pass impunity ,[],EAP
3.0,2.0,0.0,3.0,3.0,23.0,0.8947368421052632,19.0,need tell sceptical hitherto topic soul immortality ,[],EAP
11.0,5.0,1.0,6.0,8.0,56.0,0.7222222222222222,36.0,often compare find chief superiority consist power soon persuade power inferior chief potentate earth ,[],MWS
0.0,1.0,2.0,1.0,4.0,12.0,0.7272727272727273,11.0,child child newcomer child grow ,[],HPL
2.0,1.0,1.0,1.0,2.0,22.0,1.0,18.0,dr johnson beheld full pursy man ill dr slovenly aspect ,"[johnson, beheld]",HPL
5.0,8.0,1.0,5.0,8.0,64.0,0.851063829787234,47.0,presently murmur water fall gently upon ear moment afterward turn road somewhat abruptly hitherto become aware building kind lie foot gentle declivity ,[],EAP
1.0,4.0,0.0,4.0,6.0,27.0,1.0,15.0,ellison remarkable continuous profusion good gift lavish upon fortune ,[ellison],EAP
1.0,4.0,1.0,1.0,3.0,17.0,0.875,16.0,still continue plane elipse make little progress eastward ,[],EAP
2.0,2.0,0.0,4.0,4.0,24.0,1.0,16.0,useless provide many thing find abundant provision every town ,[],MWS
4.0,4.0,1.0,3.0,7.0,36.0,0.9230769230769231,26.0,fly quickly snow sledge motion pleasant opinion far agreeable english stagecoach ,[english],MWS
3.0,4.0,2.0,2.0,3.0,23.0,0.9545454545454546,22.0,point spot disappear follow track boat net cast vain ,[],MWS
6.0,5.0,1.0,2.0,5.0,47.0,0.8918918918918919,37.0,indistinct recollection great storm time reach boat rate know hear peal thunder tone nature utter wildest mood ,[],HPL
1.0,6.0,1.0,1.0,3.0,34.0,0.8620689655172413,29.0,seem one courtyard hope would chance get away spreading general alarm ,[one],HPL
4.0,0.0,0.0,2.0,5.0,27.0,0.9090909090909091,22.0,mein gott take vor shicken oh reply much alarmed chicken certainly ,"[mein, gott]",EAP
2.0,0.0,1.0,3.0,4.0,20.0,0.9090909090909091,11.0,perpetual fear jaundice complexion shrivel whole person ,[],MWS
0.0,0.0,1.0,3.0,3.0,20.0,0.9333333333333333,15.0,sun set atmosphere grow dim evening star longer shone companionless ,"[sun, evening]",MWS
1.0,1.0,1.0,3.0,5.0,26.0,0.8571428571428571,21.0,rain cease cloud sink behind horizon evening sun descend swiftly western sky ,"[horizon, evening, sun]",MWS
2.0,1.0,1.0,2.0,4.0,38.0,0.896551724137931,29.0,nothing however occur except hill noise day come many hope new horror go swiftly come ,"[hill, noise]",HPL
0.0,1.0,1.0,1.0,1.0,19.0,1.0,15.0,state room sufficiently roomy two berth one ,[two],EAP
1.0,2.0,2.0,0.0,5.0,27.0,0.9090909090909091,22.0,get dark ancient roof chimney pot outside look queer bull eye window pane ,[],HPL
4.0,7.0,1.0,8.0,13.0,71.0,0.8085106382978723,47.0,march various part southern county quarter deserted village part send back island season winter far revive energy pass country defend increase number prohibit ,"[march, winter]",MWS
3.0,7.0,4.0,5.0,7.0,47.0,0.85,40.0,suffer little cold dampness atmosphere unpleasant ample space car enable us lie mean cloak blanket sufficiently well ,[us],EAP
18.0,12.0,3.0,10.0,13.0,108.0,0.7159090909090909,88.0,dare conquer till sell death sole condition thou shouldst follow fire war plague unite thy destruction raymond safety thee heavy heart listen change delirium make bed cloak violence decrease clammy dew stand brow paleness death succeed crimson fever place cloak ,"[decrease, clammy]",MWS
3.0,9.0,6.0,6.0,11.0,78.0,0.7,60.0,seem interior house old house apparently detail inhabitant constantly change could never certain face furniture even room since door window seem great state flux presumably mobile object ,"[interior, house, house]",HPL
2.0,6.0,0.0,3.0,7.0,43.0,0.9642857142857143,28.0,gentleman clothe head foot richly embroidered black silk velvet pall wrap negligently around form fashion spanish cloak ,[spanish],EAP
2.0,8.0,3.0,4.0,9.0,53.0,0.7692307692307693,39.0,pigeon appear distressed extreme struggle escape cat mew piteously tongue hang mouth stagger fro car influence poison ,"[pigeon, appear, hang, mouth]",EAP
1.0,1.0,1.0,0.0,0.0,11.0,1.0,10.0,window pane go ,[],HPL
4.0,6.0,0.0,3.0,4.0,42.0,0.7297297297297297,37.0,pant gasp breath could doubt design tormentor oh unrelenting oh demoniac man shrink glow metal centre cell ,[],EAP
4.0,9.0,2.0,7.0,11.0,64.0,0.8809523809523809,42.0,great difficulty gain foot look dizzily around first strike idea among breaker terrific beyond wildest imagination whirlpool mountainous foam ocean within engulf ,[first],EAP
2.0,3.0,1.0,4.0,6.0,29.0,0.9473684210526315,19.0,next morning deliver letter introduction pay visit principal professor ,"[next, morning]",MWS
0.0,6.0,2.0,3.0,10.0,43.0,0.8846153846153846,26.0,raymond make end without draw vivid glowing colour splendour kingdom opposition commercial spirit republicanism ,"[raymond, make, end]",MWS
3.0,0.0,0.0,5.0,7.0,30.0,0.9375,16.0,celebrate magazine sustain evidently tremendous expense understand ,[celebrate],EAP
2.0,4.0,2.0,2.0,2.0,30.0,0.88,25.0,week two visibly fade course month hardly discernible naked eye ,[two],HPL
4.0,6.0,1.0,2.0,4.0,34.0,0.9259259259259259,27.0,stranger learn twenty word first lesson indeed understand profit ,[],MWS
1.0,6.0,0.0,2.0,4.0,38.0,0.7941176470588235,34.0,people look come struggle would great degree decisive case victory next step would siege constantinople greeks ,[],MWS
0.0,2.0,1.0,2.0,2.0,12.0,1.0,9.0,could cavity detect sound ,[],EAP
4.0,5.0,2.0,7.0,9.0,55.0,0.9032258064516129,31.0,lieutenant instance man wonderful courage enterprise madly desirous glory rather word phrase characteristically advancement profession ,[],MWS
3.0,4.0,1.0,5.0,6.0,47.0,0.9615384615384616,26.0,within twenty four hour machine near table generate wave act unrecognised sense organ exist us atrophy rudimentary vestige ,"[twenty, four, hour]",HPL
2.0,8.0,6.0,5.0,7.0,85.0,0.7936507936507936,63.0,everybody get aout idee dyin excep canoe war islander sacrifice sea god daown snake bite plague sharp gallopin ailment something afore cud take water simply look forrad kind change want bit horrible arter ,[cud],HPL
0.0,1.0,0.0,0.0,0.0,8.0,1.0,8.0,lip usual marble pallor ,[],EAP
1.0,0.0,0.0,1.0,3.0,10.0,1.0,6.0,absolutely needless reply g ,[],EAP
1.0,3.0,3.0,1.0,3.0,28.0,0.7692307692307693,26.0,ahead lie sparse grass scrub blueberry bush beyond naked rock crag thin peak dreaded grey cottage ,"[grass, scrub, blueberry, bush, grey]",HPL
5.0,6.0,0.0,1.0,1.0,24.0,0.7619047619047619,21.0,near love feel limit desire ,[],MWS
3.0,2.0,1.0,3.0,3.0,30.0,0.875,24.0,sky serene unable rest resolve visit spot poor william murder ,"[william, murder]",MWS
5.0,0.0,0.0,1.0,1.0,15.0,0.875,16.0,say thing observed tell latin rem ,[latin],EAP
6.0,6.0,2.0,5.0,11.0,58.0,0.8888888888888888,36.0,say throw greatly shade cornelius agrippa albertus magnus paracelsus lord imagination fatality overthrow man disincline pursue accustomed study ,"[cornelius, agrippa]",MWS
3.0,3.0,1.0,3.0,7.0,34.0,0.9166666666666666,24.0,ex queen give idris adrian totally unfitted succeed earldom earldom hand become kingdom ,"[idris, adrian]",MWS
0.0,3.0,2.0,6.0,6.0,38.0,0.9565217391304348,23.0,pupil upon accession diminution light underwent contraction dilation observe feline tribe ,"[pupil, upon, accession, diminution]",EAP
1.0,2.0,0.0,0.0,2.0,12.0,0.9166666666666666,12.0,keep large branch one side say legrand ,[],EAP
1.0,7.0,1.0,2.0,3.0,28.0,0.7916666666666666,24.0,quiver awhile among drapery room length rest full view upon surface door brass ,[],EAP
3.0,5.0,1.0,6.0,11.0,44.0,0.8571428571428571,28.0,maternal affection render idris selfish beginning calamity thoughtless enthusiasm devote care sick helpless ,[idris],MWS
7.0,8.0,2.0,6.0,7.0,51.0,0.7567567567567568,37.0,come like protect spirit poor girl commit care interment friend conduct geneva place protection relation ,[],MWS
5.0,0.0,1.0,6.0,7.0,37.0,0.9545454545454546,22.0,expect extravagant proposition remain silent awhile collect thought may well combat fanciful scheme ,[],MWS
5.0,5.0,1.0,7.0,10.0,55.0,0.9166666666666666,36.0,matter assume really serious aspect resolve call upon particular friend mr theodore sinivate know least get something like definite information ,"[theodore, sinivate]",EAP
2.0,0.0,1.0,1.0,2.0,15.0,0.8888888888888888,9.0,system disadvantage even danger ,[],EAP
0.0,1.0,0.0,1.0,3.0,19.0,1.0,13.0,everyone seem inclined silent though hold secret fear ,[],HPL
1.0,3.0,1.0,2.0,2.0,18.0,1.0,12.0,still appear public together live roof ,[],MWS
10.0,5.0,2.0,9.0,10.0,74.0,0.8076923076923077,52.0,dear fellow joke say passable skull indeed may say excellent skull accord vulgar notion specimen physiology scarabus must queer scarabus world resemble ,"[accord, vulgar, scarabus]",EAP
4.0,1.0,1.0,0.0,0.0,14.0,0.8421052631578947,19.0,vaow afur gawd dunt know want tryin dew ,[vaow],HPL
18.0,6.0,3.0,4.0,5.0,71.0,0.7627118644067796,59.0,begin answer violence yes yes hate bane poison disgust oh manner change fix eye expression convulse every nerve member frame none light one life ,[one],MWS
4.0,1.0,1.0,1.0,2.0,20.0,0.85,20.0,shiver wonder reach light would look dare ,[],HPL
1.0,5.0,2.0,2.0,7.0,31.0,0.9583333333333334,24.0,slow ravage disease pleasant watch case something subtler puzzling background ,[],HPL
1.0,4.0,1.0,3.0,6.0,32.0,0.8,25.0,comte associate turn away lowly abode alchemist form charles le sorcier appear tree ,"[charles, le, sorcier]",HPL
6.0,5.0,1.0,7.0,10.0,54.0,0.8888888888888888,36.0,say happen medical school west already make notorious wild theory nature death possibility overcoming artificially ,[],HPL
13.0,10.0,1.0,8.0,10.0,90.0,0.7096774193548387,62.0,besides perdita retirement see moodiness succeed force hilarity mark disturbed sleep painful irritability see tear scarce cease flow since behold big drop disappoint pride cause gather eye pride unable dispel ,"[mark, disturbed]",MWS
4.0,5.0,1.0,5.0,10.0,41.0,0.8518518518518519,27.0,pack chemical instrument material collect resolve finish labour obscure nook northern highland scotland ,[scotland],MWS
1.0,3.0,0.0,0.0,0.0,13.0,1.0,13.0,idea friend may sum word ,[],EAP
2.0,2.0,1.0,1.0,2.0,17.0,0.9333333333333333,15.0,definite point among star claim call ,"[definite, point]",HPL
3.0,2.0,0.0,0.0,1.0,10.0,0.9090909090909091,11.0,believe shall force call ,[],EAP
5.0,3.0,4.0,3.0,7.0,46.0,0.9166666666666666,36.0,god know world ever glimpse blasphemous shape lope trot crawl whatever baffling source image one thing plain ,[one],HPL
2.0,4.0,1.0,1.0,4.0,32.0,0.84,25.0,yet appearance give beg pardon give learn future age ashimah syrians ,[],EAP
2.0,2.0,0.0,1.0,2.0,17.0,0.9285714285714286,14.0,skin embrown sun step firm conscious power ,[],MWS
5.0,3.0,1.0,1.0,3.0,26.0,1.0,22.0,slum along main street would find old georgian church long abandon ,[georgian],HPL
3.0,1.0,1.0,1.0,2.0,17.0,1.0,13.0,believe sir forget pay brandy water ,[],EAP
6.0,1.0,1.0,1.0,6.0,25.0,0.9473684210526315,19.0,start forward exclaim villain sign death warrant sure safe ,[],MWS
3.0,2.0,2.0,3.0,5.0,33.0,0.9565217391304348,23.0,eye stay whole glare propulsive dilate incandescence grow face around char dwindle ,[],HPL
2.0,5.0,2.0,3.0,6.0,41.0,0.9259259259259259,27.0,determine extract condense glory power achievement may result long reign three year protectorate ,"[three, year]",MWS
1.0,3.0,0.0,1.0,2.0,15.0,0.9090909090909091,11.0,advertisement picking boat ,[],EAP
0.0,6.0,2.0,6.0,11.0,51.0,0.8181818181818182,33.0,baffle excavator seek conference superintendent order great length rope take pit splice lower without cessation till bottom may discover ,"[baffle, excavator]",HPL
8.0,1.0,1.0,5.0,5.0,43.0,0.96875,32.0,receive order take bring earl lenity make expect conclusion consider ill befit crime ,"[earl, ill, befit]",MWS
2.0,1.0,1.0,1.0,1.0,22.0,0.8695652173913043,23.0,lean nith remark one see old man wife since night cat away ,"[lean, nith, remark, night]",HPL
4.0,4.0,2.0,4.0,5.0,42.0,0.84375,32.0,six year elapse pass dream one indelible trace stand place last embrace father departure ingolstadt ,"[six, year, one]",MWS
1.0,1.0,1.0,1.0,2.0,14.0,1.0,10.0,kidd accumulation immense well known ,"[kidd, accumulation, immense]",EAP
2.0,2.0,3.0,2.0,3.0,39.0,0.8571428571428571,35.0,look beheld head rise black liquid deep sink eye open terror thin shadow lip part scream frightful utter ,[],HPL
1.0,2.0,1.0,1.0,2.0,14.0,0.9090909090909091,11.0,high summit one one drop everlasting dew ,[],EAP
6.0,7.0,2.0,2.0,4.0,51.0,0.782608695652174,46.0,spend many hour tear mournful meditation past twelve oclock peace house gentle air steal window rustle leave twine plant shadow ,"[many, hour, twelve]",MWS
4.0,4.0,1.0,5.0,7.0,42.0,0.8928571428571429,28.0,traditionally receptive ear small boy learn much though habitual secretiveness cause tell one information resolve ,[one],HPL
5.0,1.0,2.0,4.0,8.0,40.0,0.9615384615384616,26.0,understand word know certain thing make feel certain emotion fancy unremembered dream must responsible ,[],HPL
2.0,1.0,0.0,0.0,2.0,18.0,0.9411764705882353,17.0,look weep two year never enjoy one moment free anguish ,"[two, year, one]",MWS
10.0,16.0,4.0,14.0,17.0,136.0,0.6881720430107527,93.0,indeed demonstrable every impulse give air must end impress every individual thing exist within universe infinite understand imagine may trace remote undulation impulse trace upward onward influence upon particle matter upward onward ever modification old form word creation new find reflect unimpressive last back throne godhead ,"[universe, infinite]",EAP
1.0,1.0,0.0,0.0,2.0,10.0,1.0,7.0,justine call defence ,[],MWS
3.0,7.0,1.0,4.0,8.0,54.0,0.96875,32.0,engagement break galpin move east begin life anew long appletonians hear dismissal disgrace new york university obtain instructorship english ,"[new, york, university, english]",HPL
2.0,1.0,2.0,5.0,5.0,42.0,0.8846153846153846,26.0,narrow head bulging watery blue eye seem never wink flat nose recede forehead chin singularly undeveloped ear ,[chin],HPL
7.0,17.0,1.0,14.0,18.0,108.0,0.6486486486486487,74.0,remember early stage speculation upon possibility passage moon existence vicinity atmosphere dense proportion bulk planet enter largely calculation spite many theory contrary may add spite general disbelief existence lunar atmosphere ,[moon],EAP
2.0,0.0,1.0,2.0,2.0,17.0,1.0,10.0,word flow spontaneously utterance firm quick ,[],MWS
1.0,8.0,3.0,10.0,14.0,87.0,0.7857142857142857,56.0,rare affliction course could bring vast radical anatomical change single individual maturity change involve osseous factor basic shape skull even aspect baffling unheard visible feature malady whole ,[],HPL
4.0,4.0,1.0,1.0,2.0,30.0,0.8888888888888888,27.0,flee accurse castle along bog edge hear new sound common yet unlike hear kilderry ,[flee],HPL
2.0,3.0,0.0,2.0,3.0,25.0,0.9523809523809523,21.0,try navigate first bold flight reaction take something soul ,[first],HPL
1.0,7.0,1.0,2.0,3.0,33.0,0.9310344827586207,29.0,bear attempt swim lofoden moskoe catch stream borne roar terribly hear shore ,[],EAP
2.0,2.0,1.0,1.0,2.0,18.0,0.9166666666666666,12.0,obey injunction pass year exile cumberland ,"[obey, year]",MWS
4.0,4.0,0.0,2.0,2.0,18.0,0.8571428571428571,14.0,revert past life success greece favour home ,"[revert, past, life, greece, favour, home]",MWS
1.0,2.0,0.0,0.0,2.0,17.0,1.0,12.0,murderer cast would fail attach weight ,"[murderer, cast]",EAP
2.0,2.0,1.0,2.0,3.0,29.0,1.0,18.0,short inevitable sleep seem old whilst friend age rapidity almost shocking ,[],HPL
7.0,4.0,1.0,4.0,5.0,50.0,0.7209302325581395,43.0,look hand execute deed think heart imagination conceive long moment hand meet eye imagination haunt thought ,[],MWS
4.0,5.0,1.0,2.0,5.0,38.0,0.8666666666666667,30.0,horrible sight shape turbid cloud hover city relief derive struggle make approach gate ,"[hover, city]",MWS
5.0,5.0,0.0,3.0,5.0,28.0,0.9545454545454546,22.0,order reach say would soar abyss emptiness burn every obstacle stand way ,[],HPL
2.0,4.0,1.0,4.0,6.0,40.0,0.9629629629629629,27.0,pierre moreau tobacconist depose habit sell small quantity tobacco snuff madame lespanaye nearly four year ,"[pierre, moreau, nearly, four, year]",EAP
2.0,0.0,0.0,1.0,1.0,6.0,1.0,5.0,still quicken pace ,[],EAP
3.0,5.0,2.0,6.0,6.0,34.0,0.9565217391304348,23.0,resolve fly far scene misfortune hate despise every country must equally horrible ,[],MWS
11.0,14.0,4.0,13.0,16.0,130.0,0.7204301075268817,93.0,spirit wisdom among ancient hebrews believe gate heaven would inevitably open sinner saint good lung implicit confidence vociferate word amen spirit wisdom great plague rage athens every means vain attempt removal epimenide laertius relate second book philosopher advise erection shrine temple proper god lyttleton barry ,"[athens, second]",EAP
6.0,5.0,1.0,10.0,16.0,89.0,0.7213114754098361,61.0,feel confident never would dream take residence alexander great nopolis aware alexander great nopolis live gentleman name john smith rightly remember many year quietly grow fat editing publish alexander great nopolis gazette ,"[great, nopolis, alexander, great, nopolis, john, smith, alexander, great, nopolis, gazette]",EAP
3.0,1.0,0.0,0.0,1.0,11.0,0.8333333333333334,12.0,protect first latter commit charge ,[],MWS
4.0,1.0,0.0,0.0,3.0,18.0,0.9230769230769231,13.0,miserable may render wretched ought die ,[],MWS
2.0,1.0,2.0,1.0,3.0,23.0,0.8947368421052632,19.0,police hear shot old tillinghast house find us tillinghast dead unconscious ,"[tillinghast, house, us]",HPL
5.0,2.0,0.0,2.0,3.0,28.0,0.8636363636363636,22.0,even possible train idea would never receive fatal impulse lead ruin ,[],MWS
3.0,4.0,1.0,9.0,10.0,55.0,0.8571428571428571,35.0,enter army initiative rather natural result enlistment man whose indispensable assistant celebrated boston surgical specialist dr herbert west ,"[boston, herbert, west]",HPL
4.0,2.0,1.0,1.0,2.0,21.0,1.0,17.0,last link chapter life forever close value highly ,[],HPL
3.0,2.0,0.0,3.0,4.0,24.0,0.9444444444444444,18.0,longer meditate upon intense grow interest excite within ,[],EAP
6.0,6.0,2.0,7.0,8.0,44.0,0.9333333333333333,30.0,often repine trust singleness affection undisturbed together unchecked fear open heart full delight ,[],MWS
2.0,5.0,1.0,3.0,5.0,29.0,0.9130434782608695,23.0,nothing grotesque bone skeleton strowe stone crypt deep among foundation ,"[grotesque, bone, skeleton, strowe, stone]",HPL
8.0,8.0,2.0,5.0,6.0,57.0,0.8837209302325582,43.0,full thought remain silent considerable part ride length say must apologize abstraction truth ryland motion come night consider reply ,[],MWS
0.0,2.0,2.0,4.0,6.0,44.0,0.8888888888888888,27.0,thing describe language abysm shrieking immemorial lunacy eldritch contradiction matter force cosmic order ,[],HPL
2.0,2.0,1.0,2.0,2.0,17.0,1.0,13.0,add dilemma find pump choke nearly useless ,[],EAP
5.0,3.0,0.0,2.0,4.0,26.0,1.0,19.0,mean ignorant man find little difficulty gain purpose ,[],EAP
4.0,3.0,1.0,8.0,8.0,55.0,0.8918918918918919,37.0,queer damnably queer uncle speak almost sheepishly half expect believe declare strange face many unmistakably bear feature harris family ,[harris],HPL
1.0,3.0,0.0,3.0,4.0,32.0,0.92,25.0,three month night pass great part engage personally ransack hotel ,"[three, month]",EAP
4.0,2.0,1.0,1.0,3.0,28.0,0.9090909090909091,22.0,raymond wonder thus situate artist shrink notice alter resolve ,"[raymond, wonder]",MWS
2.0,3.0,1.0,1.0,3.0,29.0,0.96,25.0,long magic farther hill sigh secret peer like green reef bottomless sea ,[],HPL
5.0,4.0,3.0,3.0,5.0,34.0,0.88,25.0,endure punishment pain defence spirit hero claim reward praise obedience ,[],MWS
2.0,0.0,0.0,0.0,2.0,5.0,1.0,5.0,must collect thought ,[],MWS
3.0,3.0,0.0,2.0,2.0,22.0,0.9375,16.0,never impose upon one suffer one play possum ,"[one, one]",EAP
5.0,0.0,0.0,2.0,4.0,21.0,0.8333333333333334,18.0,say though confess thought occupy pleasantly ,[],MWS
7.0,2.0,2.0,3.0,5.0,38.0,0.9,30.0,remain paralysed fear find voice die breath scream forth word ever afterward haunt day night ,[],HPL
1.0,2.0,0.0,1.0,4.0,21.0,1.0,13.0,surely custom englishmen receive stranger inhospitably ,[],MWS
5.0,5.0,1.0,5.0,7.0,46.0,0.8709677419354839,31.0,remain confine five month trial take place result deprive fortune condemn perpetual exile native country ,"[five, month]",MWS
2.0,6.0,0.0,2.0,5.0,58.0,0.782608695652174,46.0,never stop swimmin aout river cursed reef satan attic winder get board noise heerd haouse want sposed hev nobody em ,[],HPL
